Country,Region,Happiness,Economy
South Korea,Eastern Asia,5.984,1.24461
Spain,Western Europe,6.329,1.23011
Sri Lanka,Southern Asia,4.271,0.83524
Sudan,Sub-Saharan Africa,4.55,0.52107
Suriname,Latin America and Caribbean,6.269,0.99534
Swaziland,Sub-Saharan Africa,4.867,0.71206
Sweden,Western Europe,7.364,1.33171
Switzerland,Western Europe,7.587,1.39651
Syria,Middle East and Northern Africa,3.006,0.6632
Taiwan,Eastern Asia,6.298,1.29098
Tajikistan,Central and Eastern Europe,4.786,0.39047
Tanzania,Sub-Saharan Africa,3.781,0.2852
Thailand,Southeastern Asia,6.455,0.9669
Togo,Sub-Saharan Africa,2.839,0.20868
Trinidad and Tobago,Latin America and Caribbean,6.168,1.21183
Tunisia,Middle East and Northern Africa,4.739,0.88113
Turkey,Middle East and Northern Africa,5.332,1.06098
Turkmenistan,Central and Eastern Europe,5.548,0.95847
Uganda,Sub-Saharan Africa,3.931,0.21102
Ukraine,Central and Eastern Europe,4.681,0.79907
United Arab Emirates,Middle East and Northern Africa,6.901,1.42727
United Kingdom,Western Europe,6.867,1.26637
United States,North America,7.119,1.39451
Uruguay,Latin America and Caribbean,6.485,1.06166
Uzbekistan,Central and Eastern Europe,6.003,0.63244
Venezuela,Latin America and Caribbean,6.81,1.04424
Vietnam,Southeastern Asia,5.36,0.63216
Yemen,Middle East and Northern Africa,4.077,0.54649
Zambia,Sub-Saharan Africa,5.129,0.47038
Zimbabwe,Sub-Saharan Africa,4.61,0.271
